Species	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
Parabacteroides distasonis	0.72	0.03	2.54	0.39	1.13	0.9	2.58	1.29	0.4	3.04	0.35	1.6	0.79	0.17	0.53	0.21	4.62	0.36	0.68	0.04	0.62	1.83	0.47	13.67	0.81	0.59	0.43	0.49	2.98	0.16	7.84	0.41	0.89	0.41	0.85	1.66	0.54	11.4	0.25	0.12	0.17	0.44	0.401	0.471	1.386	3.935	0.484	0.628	0.533	0.63	0.466	1.37	0.914	0.35	1.865	1.381	0.738	1.02	0.77	0.94	1	3.97	2.45	1.38	1.08	1.37	1.17	3.41	2.64	1.26	0.92	0.46	0.55	8.52	10.06	1	0.96	0.69	0.51	1.79	2.13	1.76	1.01	0.48	0.47	2.21	2.21	0.45	0.29	0.3	0.34	2.36	2.5	1.2	1.05	1.55	1.1	1.4	0.97	1.01	1.26	1.21	0.8	1.15	1.34	1.04	0.76	0.78
Parabacteroides sp. CT06	0.06	0	0.22	0.47	0.43	2.39	0.69	0.09	0.06	0.27	0.36	0.6	2.52	0.04	0.03	0.02	0.35	0.48	0.25	0.07	0.19	0.14	0.09	0.81	1.16	0.21	0.58	0.04	0.08	0.01	0.22	0.15	0.13	0.76	0.1	0.05	0.04	0.31	0.1	0.02	0.31	0.04	0.249	0.047	0.047	0.352	0.066	0.066	0.049	0.035	0.049	0.786	0.112	0.024	0.225	0.102	0.084	0.36	0.27	0.34	0.36	0.51	0.44	0.53	0.4	0.52	0.43	0.43	0.34	0.44	0.34	0.26	0.31	0.74	0.86	0.37	0.36	0.34	0.27	0.25	0.27	0.66	0.35	0.22	0.23	0.24	0.24	0.21	0.12	0.13	0.14	0.24	0.24	0.43	0.38	0.56	0.4	0.53	0.34	0.39	0.47	0.46	0.36	0.44	0.48	0.37	0.28	0.3
Tannerella sp. oral taxon HOT-286	0.01	0	0.05	0	0.03	0.02	0.01	0.01	0.04	0.06	0	0.02	0.01	0	0	0	0.04	0	0.01	0	0	0.01	0.05	0.03	0.01	0.02	0.02	0	0.02	0	0.06	0.01	0.04	0.02	0	0.02	0.09	0.04	0	0	0.01	0	0.016	0.074	0.002	0.022	0.015	0.009	0.076	0.031	0.012	0.022	0.064	0.094	0.084	0.012	0.046	0.13	0.1	0.14	0.15	0.16	0.15	0.12	0.12	0.15	0.14	0.15	0.12	0.16	0.12	0.08	0.06	0.18	0.16	0.1	0.1	0.06	0.06	0.06	0.06	0.13	0.14	0.12	0.08	0.03	0.03	0.06	0.06	0.06	0.05	0.06	0.05	0.19	0.17	0.2	0.16	0.18	0.14	0.19	0.14	0.12	0.12	0.1	0.12	0.15	0.12	0.08
Tannerella forsythia	0.02	0	0.06	0	0.06	0.05	0.03	0.02	0.03	0.08	0	0.07	0.03	0.01	0.01	0	0.06	0.01	0.03	0	0.02	0.03	0.04	0.04	0.01	0.05	0.03	0.01	0.05	0	0.08	0.01	0.06	0.03	0.02	0.03	0.08	0.07	0.01	0.02	0.01	0.01	0.034	0.097	0.01	0.044	0.043	0.007	0.096	0.057	0.031	0.044	0.048	0.091	0.052	0.028	0.044	0.13	0.1	0.13	0.14	0.16	0.16	0.16	0.13	0.17	0.15	0.14	0.12	0.16	0.12	0.08	0.09	0.17	0.17	0.12	0.12	0.09	0.08	0.06	0.06	0.2	0.14	0.1	0.08	0.04	0.04	0.06	0.05	0.05	0.05	0.05	0.04	0.16	0.14	0.2	0.15	0.19	0.13	0.16	0.17	0.15	0.12	0.14	0.16	0.14	0.11	0.1
Prevotella dentalis	0.05	0.03	1.38	0	0.09	0.03	0.04	0.02	1.17	1.66	0	0.06	0.02	0.01	0.03	0	1.05	0.01	0.02	0	0.03	0.18	1.63	0.43	0.01	0.06	0.02	0.01	0.25	0.02	1.45	0.01	0.11	0.01	0.02	0.2	3.08	0.71	0.01	0.01	0.01	0.01	0.011	1.536	0.005	0.035	0.044	0.008	1.502	0.232	0.014	0.04	0.59	1.78	1.07	0.022	0.031	0.29	0.24	0.37	0.37	0.36	0.34	0.28	0.28	0.32	0.28	0.39	0.3	0.37	0.24	0.2	0.19	0.36	0.31	0.22	0.23	0.17	0.19	0.16	0.16	0.32	0.34	0.3	0.21	0.1	0.1	0.15	0.24	0.18	0.17	0.17	0.15	0.39	0.34	0.46	0.4	0.39	0.35	0.39	0.31	0.32	0.26	0.18	0.23	0.38	0.29	0.17
Prevotella ruminicola	0.08	0.04	2.31	0.01	0.12	0.05	0.06	0.03	1.75	2.75	0	0.12	0.03	0.01	0.04	0.01	1.81	0.02	0.04	0.01	0.05	0.28	2.45	0.77	0.01	0.1	0.03	0.01	0.48	0.03	2.9	0.01	0.15	0.02	0.04	0.36	5.24	1.38	0.01	0.02	0.01	0.01	0.017	2.827	0.013	0.03	0.091	0.005	2.783	0.248	0.043	0.059	0.573	2.895	1.165	0.021	0.061	0.2	0.15	0.24	0.25	0.23	0.22	0.19	0.19	0.21	0.17	0.25	0.19	0.23	0.15	0.13	0.13	0.2	0.2	0.15	0.16	0.12	0.13	0.1	0.11	0.24	0.22	0.18	0.14	0.07	0.07	0.1	0.17	0.12	0.12	0.11	0.09	0.22	0.19	0.29	0.26	0.25	0.22	0.24	0.2	0.22	0.15	0.12	0.15	0.25	0.17	0.12
Prevotella denticola	0.05	0.02	1.11	0	0.1	0.04	0.04	0.02	0.75	1.32	0	0.08	0.03	0.01	0.02	0	0.85	0.01	0.03	0	0.03	0.16	1.06	0.36	0	0.07	0.02	0.01	0.21	0.01	1.09	0	0.11	0.01	0.03	0.16	1.76	0.52	0	0.01	0.01	0.01	0.015	1.153	0.007	0.032	0.054	0.007	1.141	0.229	0.029	0.033	0.473	1.484	0.791	0.023	0.033	0.19	0.15	0.24	0.24	0.22	0.22	0.19	0.19	0.2	0.18	0.24	0.19	0.24	0.16	0.14	0.14	0.22	0.21	0.15	0.17	0.14	0.14	0.11	0.12	0.24	0.23	0.22	0.15	0.07	0.07	0.1	0.15	0.12	0.11	0.11	0.1	0.24	0.21	0.31	0.26	0.26	0.22	0.28	0.22	0.22	0.17	0.13	0.18	0.26	0.19	0.14
Prevotella intermedia	0.09	0.03	1.48	0.01	0.18	0.06	0.08	0.04	1.2	1.74	0.01	0.16	0.04	0.01	0.04	0	1.16	0.02	0.07	0.01	0.06	0.29	1.72	0.51	0.02	0.13	0.04	0.02	0.4	0.02	1.57	0.02	0.23	0.03	0.04	0.28	3.05	0.8	0.01	0.02	0.01	0.02	0.031	1.656	0.024	0.081	0.073	0.02	1.595	0.319	0.04	0.052	0.591	1.942	1.042	0.05	0.064	0.16	0.13	0.2	0.2	0.18	0.18	0.16	0.16	0.17	0.14	0.2	0.16	0.19	0.13	0.12	0.13	0.16	0.16	0.13	0.14	0.13	0.13	0.1	0.11	0.21	0.19	0.17	0.14	0.07	0.07	0.09	0.14	0.1	0.1	0.1	0.09	0.19	0.16	0.25	0.21	0.21	0.18	0.21	0.17	0.19	0.14	0.11	0.14	0.21	0.16	0.11
Prevotella enoeca	0.03	0.01	0.6	0	0.05	0.02	0.01	0.01	0.51	0.71	0	0.04	0.01	0	0.01	0	0.46	0	0.01	0	0.01	0.09	0.67	0.2	0	0.03	0.01	0	0.11	0.01	0.55	0	0.06	0.01	0.01	0.08	1.16	0.28	0	0	0	0	0.008	0.567	0.005	0.018	0.024	0.004	0.529	0.105	0.01	0.015	0.195	0.637	0.312	0.013	0.019	0.1	0.08	0.13	0.13	0.12	0.12	0.1	0.1	0.11	0.09	0.13	0.1	0.12	0.08	0.08	0.07	0.11	0.1	0.08	0.09	0.08	0.08	0.06	0.06	0.14	0.12	0.11	0.08	0.04	0.04	0.06	0.09	0.06	0.07	0.06	0.06	0.12	0.11	0.16	0.14	0.14	0.12	0.15	0.11	0.12	0.09	0.07	0.09	0.14	0.1	0.07
Prevotella oris	0.05	0.03	1.44	0	0.07	0.02	0.02	0.02	1.24	1.7	0	0.06	0.01	0.01	0.03	0	1.13	0.01	0.02	0	0.02	0.2	1.65	0.5	0	0.05	0.01	0	0.28	0.02	1.55	0	0.09	0.01	0.01	0.2	3.2	0.76	0	0.01	0	0.01	0.013	1.569	0.007	0.018	0.038	0.004	1.467	0.128	0.019	0.03	0.326	1.635	0.637	0.016	0.028	0.09	0.07	0.11	0.11	0.11	0.1	0.09	0.08	0.09	0.08	0.12	0.09	0.11	0.07	0.07	0.07	0.09	0.09	0.07	0.07	0.06	0.07	0.06	0.06	0.12	0.1	0.09	0.07	0.04	0.04	0.05	0.09	0.06	0.06	0.05	0.05	0.11	0.09	0.13	0.12	0.11	0.1	0.11	0.09	0.1	0.08	0.06	0.07	0.12	0.09	0.05
Prevotella fusca	0.05	0.02	1.08	0	0.07	0.04	0.04	0.01	1.04	1.28	0	0.07	0.02	0.01	0.02	0	0.85	0.01	0.03	0	0.03	0.16	1.41	0.35	0	0.06	0.02	0.01	0.22	0.01	1.06	0	0.08	0.01	0.02	0.16	2.41	0.52	0	0.01	0.01	0.01	0.008	1.124	0.005	0.019	0.041	0.008	1.099	0.169	0.021	0.023	0.254	1.189	0.506	0.02	0.032	0.06	0.05	0.08	0.07	0.07	0.07	0.06	0.06	0.06	0.05	0.08	0.06	0.07	0.05	0.05	0.05	0.06	0.06	0.05	0.07	0.06	0.06	0.04	0.04	0.09	0.08	0.08	0.06	0.03	0.03	0.03	0.05	0.04	0.04	0.04	0.03	0.07	0.07	0.11	0.08	0.1	0.07	0.11	0.08	0.08	0.06	0.05	0.07	0.09	0.07	0.06
Prevotella melaninogenica	0.06	0.03	1.53	0	0.07	0.02	0.02	0.02	1.29	1.82	0	0.06	0.01	0.01	0.03	0	1.2	0.01	0.02	0	0.02	0.21	1.81	0.52	0	0.05	0.01	0.01	0.27	0.01	1.49	0	0.06	0.01	0.01	0.2	2.93	0.71	0	0.01	0	0.01	0.01	1.391	0.009	0.021	0.032	0.002	1.356	0.131	0.027	0.035	0.238	1.446	0.538	0.016	0.03	0.04	0.03	0.05	0.05	0.05	0.05	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.03	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.04	0.03	0.04	0.06	0.05	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.05	0.04	0.07	0.06	0.06	0.05	0.06	0.05	0.05	0.04	0.03	0.04	0.06	0.04	0.04
Prevotella scopos	0.03	0.01	0.75	0	0.05	0.02	0.01	0.01	0.57	0.86	0	0.05	0.01	0	0.01	0	0.57	0.01	0.02	0	0.01	0.1	0.78	0.23	0	0.04	0.01	0	0.11	0.01	0.59	0	0.04	0.01	0.01	0.08	1.08	0.28	0	0.01	0	0	0.007	0.604	0.006	0.013	0.018	0.002	0.572	0.062	0.012	0.014	0.082	0.702	0.241	0.011	0.017	0.04	0.03	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.03	0.05	0.04	0.05	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.02	0.03	0.05	0.04	0.04	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.04	0.04	0.06	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.05	0.04	0.03
Prevotella sp. oral taxon 299	0.01	0.01	0.29	0	0.04	0.02	0.01	0.01	0.24	0.34	0	0.04	0.01	0	0.01	0	0.22	0	0.01	0	0.01	0.04	0.35	0.1	0	0.03	0.01	0	0.06	0	0.31	0	0.05	0.01	0.01	0.05	0.6	0.15	0	0.01	0	0	0.006	0.337	0.006	0.015	0.019	0.003	0.322	0.071	0.015	0.008	0.176	0.373	0.266	0.008	0.017	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.02	0.02	0.04	0.03	0.02
Prevotella jejuni	0.02	0.01	0.62	0	0.05	0.01	0.03	0.01	0.49	0.73	0	0.05	0.01	0.01	0.01	0	0.48	0.01	0.02	0	0.02	0.08	0.65	0.2	0	0.04	0.01	0.01	0.1	0.01	0.56	0	0.04	0.01	0.01	0.07	1.07	0.28	0	0.01	0	0.01	0.008	0.585	0.005	0.014	0.02	0.002	0.556	0.076	0.012	0.018	0.156	0.632	0.259	0.007	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.04	0.03	0.03	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.02	0.02	0.03	0.04	0.03	0.02
Paraprevotella xylaniphila	0.16	0.06	1.26	0.08	7.22	0.4	0.23	0.14	0.62	1.91	0.05	2.47	0.2	0.02	0.07	0.27	1.42	0.08	1.52	0.01	0.17	0.3	1.04	1.77	0.19	1.91	0.24	0.05	0.36	0.37	2.05	0.23	2.05	0.18	0.14	0.34	1.39	1.92	0.14	0.19	0.07	0.08	0.145	1.12	0.08	0.41	0.322	0.05	1.061	0.571	0.774	1.021	0.254	0.42	1.485	0.536	0.349	0.16	0.12	0.19	0.21	0.2	0.2	0.16	0.16	0.18	0.16	0.2	0.16	0.2	0.14	0.18	0.2	0.18	0.17	0.13	0.15	0.23	0.22	0.18	0.19	0.22	0.19	0.25	0.22	0.13	0.13	0.11	0.14	0.16	0.16	0.17	0.15	0.21	0.19	0.27	0.21	0.23	0.18	0.25	0.19	0.19	0.2	0.13	0.17	0.24	0.18	0.12
Barnesiella viscericola	0.05	0	0.39	0.03	0.19	0.28	0.3	0.04	0.13	0.51	0.02	0.2	0.14	0.03	0.02	0	0.46	0.02	0.08	0.01	0.22	0.11	0.18	0.28	0.07	0.15	0.12	0.07	0.15	0	0.39	0.04	0.22	0.09	0.18	0.11	0.35	0.43	0.03	0.02	0.09	0.09	0.073	0.332	0.098	0.162	0.188	0.041	0.327	0.264	0.17	0.073	0.127	0.238	0.22	0.076	0.257	0.4	0.34	0.45	0.47	0.46	0.46	0.38	0.38	0.47	0.45	0.45	0.36	0.53	0.39	0.22	0.18	0.53	0.45	0.3	0.3	0.19	0.19	0.18	0.17	0.4	0.45	0.38	0.24	0.1	0.1	0.19	0.2	0.19	0.17	0.17	0.16	0.6	0.51	0.65	0.49	0.56	0.45	0.56	0.45	0.38	0.37	0.3	0.4	0.47	0.35	0.27
Porphyromonas gingivalis	0.01	0	0.07	0	0.08	0.04	0.02	0.01	0.13	0.08	0	0.07	0.02	0	0.01	0	0.07	0	0.04	0	0.01	0.04	0.15	0.04	0.01	0.06	0.02	0	0.05	0	0.09	0.01	0.09	0.02	0.01	0.04	0.39	0.06	0	0.01	0.01	0.01	0.016	0.08	0.011	0.031	0.035	0.008	0.078	0.043	0.021	0.023	0.039	0.131	0.045	0.018	0.029	0.11	0.08	0.11	0.12	0.13	0.12	0.11	0.11	0.12	0.11	0.12	0.09	0.12	0.08	0.07	0.07	0.11	0.12	0.09	0.09	0.07	0.07	0.06	0.06	0.16	0.12	0.11	0.08	0.04	0.04	0.05	0.06	0.05	0.05	0.05	0.05	0.14	0.12	0.17	0.13	0.15	0.11	0.16	0.12	0.12	0.09	0.1	0.12	0.13	0.11	0.08
Porphyromonas asaccharolytica	0	0	0.03	0	0.01	0.01	0	0	0.02	0.04	0	0.01	0	0	0	0	0.03	0	0	0	0	0.01	0.02	0.01	0	0	0.01	0	0.02	0	0.04	0.01	0.01	0	0	0.01	0.06	0.02	0	0.01	0	0	0.003	0.052	0.002	0.005	0.002	0.003	0.045	0.017	0.002	0.011	0.027	0.081	0.036	0.003	0.007	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.02	0.02	0.05	0.05	0.03	0.03	0.02	0.02	0.02	0.02	0.05	0.04	0.04	0.03	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.05	0.04	0.06	0.05	0.06	0.04	0.05	0.05	0.04	0.03	0.03	0.04	0.04	0.03	0.03
Porphyromonas cangingivalis	0	0	0.04	0	0.02	0.01	0.01	0	0.02	0.04	0	0.01	0.01	0	0	0	0.03	0	0.01	0	0.01	0.01	0.03	0.02	0	0.01	0.01	0	0.01	0	0.04	0	0.02	0.01	0.01	0.01	0.07	0.03	0	0	0	0	0.006	0.035	0.003	0.012	0.011	0.002	0.036	0.026	0.003	0.01	0.025	0.053	0.033	0.005	0.013	0.04	0.03	0.04	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.03	0.03	0.03	0.05	0.05	0.03	0.03	0.03	0.03	0.02	0.02	0.05	0.04	0.03	0.03	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.05	0.04	0.06	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.03
Porphyromonas crevioricanis	0	0	0.03	0	0.01	0.01	0.01	0	0.02	0.03	0	0.01	0.01	0	0	0	0.02	0	0.01	0	0.01	0.01	0.02	0.02	0	0.01	0.01	0	0.02	0	0.03	0	0.02	0.01	0	0.01	0.05	0.02	0	0	0	0	0.006	0.042	0.002	0.008	0.012	0.002	0.041	0.01	0.006	0.008	0.015	0.039	0.019	0.004	0.01	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.02	0.02	0.04	0.04	0.03	0.03	0.02	0.02	0.01	0.02	0.04	0.03	0.03	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.04	0.03	0.05	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.02	0.03
Petrimonas mucosa	0.01	0	0.06	0	0.04	0.03	0.03	0.01	0.05	0.07	0	0.04	0.02	0	0	0	0.05	0	0.02	0	0.02	0.02	0.07	0.03	0	0.03	0.02	0.01	0.03	0	0.07	0	0.04	0.02	0.02	0.02	0.14	0.05	0	0.01	0.01	0.01	0.013	0.136	0.035	0.023	0.025	0.006	0.134	0.043	0.015	0.019	0.036	0.105	0.202	0.018	0.03	0.07	0.06	0.08	0.08	0.08	0.08	0.08	0.07	0.09	0.08	0.08	0.06	0.09	0.07	0.05	0.05	0.09	0.09	0.06	0.06	0.06	0.05	0.04	0.04	0.1	0.08	0.07	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.09	0.08	0.12	0.08	0.1	0.07	0.1	0.09	0.08	0.07	0.07	0.09	0.09	0.07	0.06
Fermentimonas caenicola	0.01	0	0.02	0	0.03	0.02	0.02	0	0.02	0.03	0	0.04	0.01	0	0	0	0.02	0	0.01	0	0.01	0.01	0.03	0.02	0	0.03	0.01	0	0.01	0	0.03	0	0.03	0.01	0.01	0.01	0.06	0.03	0	0.01	0	0	0.008	0.034	0.005	0.016	0.016	0.002	0.035	0.019	0.01	0.01	0.008	0.022	0.013	0.008	0.018	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.02	0.02	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.05	0.04	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.04	0.04	0.05	0.04	0.05	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.03	0.03
Butyricimonas faecalis	0.22	0.01	0.95	0.11	0.82	0.74	0.36	0.14	0.42	0.92	0.11	0.31	0.51	0.05	0.07	0.01	1.18	0.09	0.16	0.03	0.23	0.36	0.59	0.53	0.17	0.21	0.46	0.14	0.48	0.01	0.61	0.18	0.41	0.46	0.28	0.27	0.94	0.71	0.09	0.02	0.24	0.24	0.488	1.478	0.095	0.382	0.093	0.168	1.612	0.188	0.164	0.311	0.312	0.803	0.525	0.261	0.491	0.15	0.12	0.18	0.2	0.19	0.18	0.17	0.15	0.18	0.15	0.19	0.15	0.19	0.12	0.1	0.12	0.16	0.16	0.13	0.12	0.16	0.15	0.1	0.11	0.23	0.18	0.18	0.16	0.09	0.09	0.09	0.12	0.13	0.13	0.12	0.11	0.18	0.16	0.25	0.2	0.21	0.18	0.17	0.17	0.18	0.12	0.11	0.14	0.18	0.13	0.11
Odoribacter splanchnicus	0.44	0.01	2.09	0.14	1.16	1.07	0.15	0.16	0.06	1.79	0.05	0.97	0.7	0.12	0.11	0.02	2.69	0.05	0.61	0.05	0.17	0.54	0.08	0.87	0.22	0.71	0.56	0.15	1.08	0.03	1.14	0.14	1.92	0.53	0.49	0.58	0.1	1.26	0.12	0.09	0.25	0.21	0.968	1.158	0.024	1.165	0.837	0.287	1.432	0.46	0.139	0.938	0.445	0.461	1.916	0.074	1.164	0.07	0.05	0.08	0.07	0.09	0.09	0.09	0.07	0.09	0.08	0.08	0.06	0.09	0.07	0.06	0.06	0.09	0.1	0.07	0.07	0.07	0.07	0.05	0.05	0.12	0.08	0.07	0.06	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.09	0.08	0.12	0.08	0.11	0.07	0.1	0.1	0.09	0.07	0.08	0.09	0.09	0.07	0.07
Proteiniphilum saccharofermentans	0.01	0	0.07	0	0.05	0.04	0.03	0.01	0.05	0.08	0	0.06	0.02	0	0	0	0.06	0.01	0.02	0	0.02	0.02	0.06	0.04	0.01	0.04	0.02	0	0.04	0	0.09	0.01	0.06	0.02	0.02	0.03	0.13	0.06	0	0.01	0.01	0.01	0.019	0.096	0.015	0.034	0.044	0.006	0.096	0.042	0.033	0.023	0.017	0.069	0.028	0.023	0.037	0.09	0.07	0.09	0.09	0.11	0.1	0.1	0.09	0.11	0.1	0.09	0.08	0.11	0.08	0.05	0.05	0.11	0.11	0.08	0.07	0.06	0.05	0.04	0.04	0.12	0.09	0.07	0.05	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.11	0.1	0.13	0.1	0.12	0.09	0.1	0.1	0.1	0.08	0.08	0.1	0.09	0.07	0.06
Paludibacter propionicigenes	0.01	0	0.04	0	0.04	0.03	0.03	0.01	0.02	0.05	0	0.05	0.02	0	0	0	0.04	0	0.02	0	0.02	0.01	0.03	0.03	0	0.04	0.01	0	0.02	0	0.06	0	0.05	0.01	0.02	0.02	0.07	0.04	0	0.01	0	0.01	0.015	0.053	0.008	0.024	0.038	0.004	0.055	0.036	0.019	0.015	0.021	0.045	0.025	0.016	0.031	0.04	0.03	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.03	0.03	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.06	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.05	0.05	0.07	0.04	0.06	0.04	0.04	0.05	0.05	0.04	0.04	0.05	0.05	0.03	0.03
Bacteroidales bacterium CF	0	0	0.05	0	0.01	0.01	0.01	0	0.03	0.06	0	0.01	0	0	0	0	0.04	0.01	0.01	0	0	0.01	0.05	0.02	0	0.01	0	0	0.01	0	0.05	0	0.01	0	0	0.01	0.08	0.03	0	0	0	0	0.005	0.029	0.003	0.006	0.006	0.002	0.029	0.011	0.005	0.006	0.006	0.026	0.012	0.004	0.008	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.01	0.03	0.03	0.02	0.02	0.01	0.02	0.01	0.01	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.02	0.02
Draconibacterium orientale	0	0	0.02	0	0.02	0.02	0.01	0	0.02	0.03	0	0.03	0.01	0	0	0	0.02	0	0.01	0	0.01	0.01	0.02	0.01	0	0.02	0.01	0.01	0.01	0	0.03	0	0.02	0.01	0.01	0.01	0.06	0.02	0	0.01	0	0	0.009	0.035	0.006	0.014	0.013	0.003	0.034	0.013	0.01	0.011	0.007	0.023	0.017	0.009	0.015	0.03	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.02	0.04	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.04	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02
Chryseobacterium indologenes	0.01	0	0.02	0	0.02	0.01	0.01	0	0.02	0.03	0	0.02	0.01	0.01	0	0	0.02	0.01	0.01	0	0.01	0.01	0.03	0.01	0	0.02	0.01	0	0.01	0	0.02	0.01	0.01	0.01	0.01	0.01	0.05	0.02	0.01	0.01	0	0	0.006	0.03	0.005	0.01	0.018	0.004	0.027	0.02	0.009	0.009	0.005	0.024	0.012	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
Chryseobacterium gleum	0.01	0	0.02	0	0.02	0.01	0.01	0	0.01	0.02	0	0.03	0.01	0.01	0	0	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0	0.01	0	0.01	0	0.02	0	0.01	0	0.02	0.01	0.01	0.01	0	0	0.006	0.018	0.009	0.008	0.019	0.003	0.017	0.016	0.008	0.008	0.014	0.024	0.008	0.013	0.011	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
